"Snapshot","VmName","PowerState","CreationDate","AgeDays","ParentSnapshot","IsCurrentSnapshot","SnapshotSizeGB","Description"
"id-fr-formpriv1-a_vm-398_1","id-fr-formpriv1-a","PoweredOff","26/06/2019 15:55:44","113 Jours",,"True","0,50 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.494 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.494."
"id-fr-lock-db1-a_vm-389_1","id-fr-lock-db1-a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","3,58 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.073 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.073."
"id-fr-lock-web1-a_vm-438_1","id-fr-lock-web1-a","PoweredOff","26/06/2019 15:55:46","113 Jours",,"True","0,36 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.538 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.538."
"id-fr-lock-web3-a_vm-351_1","id-fr-lock-web3-a","PoweredOff","26/06/2019 15:55:42","113 Jours",,"True","0,36 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.638 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.638."
"opeuifrpldbdc1a_vm-393_1","opeuifrpldbdc1a","PoweredOff","26/06/2019 15:55:44","113 Jours",,"True","0,49 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.369 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.369."
"opeuifrscrprv2a_vm-469_1","opeuifrscrprv2a","PoweredOff","26/06/2019 15:55:47","113 Jours",,"True","0,55 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:47.645 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:47.645."
"uaeuifrpldbdc1a_vm-427_1","uaeuifrpldbdc1a","PoweredOff","26/06/2019 15:55:45","113 Jours",,"True","0,33 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.179 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.179."
"opeuifrscrprv1a_vm-353_1","opeuifrscrprv1a","PoweredOff","26/06/2019 15:55:42","113 Jours",,"True","0,55 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.575 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.575."
"opsidtest2a_vm-470_1","opsidtest2a","PoweredOff","26/06/2019 15:55:47","113 Jours",,"True","0,85 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:47.910 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:47.910."
"opsiddnswupp1a_vm-440_1","opsiddnswupp1a","PoweredOff","26/06/2019 15:55:46","113 Jours",,"True","0,36 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.694 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.694."
